AÑO;MES;DIA;HORA UTC;INICIO INTERVALO;FIN INTERVALO;PUNTO DE MEDIDA;COORDINADO;SERIE MEDIDOR;SUBESTACION;FECHA DE ULTIMA LECTURA;PRINCIPAL/RESPALDO;ID Bitacora/F-Inicio_F-fin;Retiro_Energia_Activa (kWhD);Retiro_Energia_Reactiva (kVarhD);Inyección_Energia_Activa (kWhR);Inyección_Energia_Reactiva (kVarhR)
﻿2023;8;3;12;8;9;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,4567299;4,6823003;0,0;0,0
﻿2023;8;3;13;9;10;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,1334014;5,005558;0,0;0,0
﻿2023;8;3;14;10;11;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,2123027;6,1145402;0,0;0,0
﻿2023;8;3;15;11;12;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;30,8944126;5,974636199999999;0,0;0,0
﻿2023;8;3;16;12;13;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,8295779;6,329354;0,0;0,0
﻿2023;8;3;17;13;14;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,6219377;6,3437819;0,0;0,0
﻿2023;8;3;18;14;15;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,6246438;6,0814369;0,0;0,0
﻿2023;8;3;19;15;16;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,5567713;5,6339492;0,0;0,0
﻿2023;8;3;20;16;17;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;30,2119756;6,3232908000000005;0,0;0,0
﻿2023;8;3;21;17;18;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;29,729715300000002;4,9950717000000004;0,0;0,0
﻿2023;8;3;22;18;19;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;33,617765299999995;4,4163844;0,0;0,0
﻿2023;8;3;23;19;20;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,1891141;4,1194702;0,0;0,0
﻿2023;8;3;0;20;21;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;33,5873493;4,202544;0,0;0,0
