Fecha/Hora;Econsumida
13-08-2023 17:00;27,5
13-08-2023 18:00;29,95
13-08-2023 19:00;32,31
13-08-2023 20:00;33,25
13-08-2023 21:00;32,92
13-08-2023 22:00;33
13-08-2023 23:00;33,27
14-08-2023 0:00;30,18
14-08-2023 1:00;26,72
14-08-2023 2:00;24,85
14-08-2023 3:00;24,67
14-08-2023 4:00;23,58
14-08-2023 5:00;24,16
14-08-2023 6:00;24,58
14-08-2023 7:00;23,28
14-08-2023 8:00;26,84
14-08-2023 9:00;27,18
14-08-2023 10:00;27,71
14-08-2023 11:00;29,57
14-08-2023 12:00;32,41
14-08-2023 13:00;31,74
14-08-2023 14:00;31,13
14-08-2023 15:00;31,49
14-08-2023 16:00;30,51
14-08-2023 17:00;28,26
14-08-2023 18:00;32
14-08-2023 19:00;36,32
14-08-2023 20:00;34,34
14-08-2023 21:00;34,08
14-08-2023 22:00;32,79
14-08-2023 23:00;30,9
15-08-2023 0:00;28,36
15-08-2023 1:00;27,09
15-08-2023 2:00;25,21
15-08-2023 3:00;23,51
15-08-2023 4:00;23,13
15-08-2023 5:00;23,24
15-08-2023 6:00;24,18
15-08-2023 7:00;24,31
15-08-2023 8:00;24,41
15-08-2023 9:00;25,09
15-08-2023 10:00;25,78
15-08-2023 11:00;25,66
15-08-2023 12:00;27,54
15-08-2023 13:00;29,4
15-08-2023 14:00;28,94
15-08-2023 15:00;28,14
15-08-2023 16:00;27,12
15-08-2023 17:00;28,57
15-08-2023 18:00;32,42
15-08-2023 19:00;35,61
15-08-2023 20:00;35,54
15-08-2023 21:00;37,08
15-08-2023 22:00;34,92
15-08-2023 23:00;29,77
16-08-2023 0:00;24,75
16-08-2023 1:00;22,45
16-08-2023 2:00;21,83
16-08-2023 3:00;20,87
16-08-2023 4:00;21,94
16-08-2023 5:00;20,46
16-08-2023 6:00;22,11
16-08-2023 7:00;23,12
16-08-2023 8:00;29,6
16-08-2023 9:00;28,89
16-08-2023 10:00;31,17
16-08-2023 11:00;31,54
16-08-2023 12:00;33,96
16-08-2023 13:00;35,07
16-08-2023 14:00;33,92
16-08-2023 15:00;33,21
16-08-2023 16:00;32,33
16-08-2023 17:00;30,29
16-08-2023 18:00;33,99
16-08-2023 19:00;36,85
16-08-2023 20:00;34,41
16-08-2023 21:00;35,02
16-08-2023 22:00;32,77
16-08-2023 23:00;34,26
17-08-2023 0:00;26,18
17-08-2023 1:00;24,84
17-08-2023 2:00;23,79
17-08-2023 3:00;24,46
17-08-2023 4:00;24,01
17-08-2023 5:00;25,45
17-08-2023 6:00;23,2
17-08-2023 7:00;26,27
17-08-2023 8:00;31,13
17-08-2023 9:00;29,5
17-08-2023 10:00;30,96
17-08-2023 11:00;32,39
17-08-2023 12:00;34,09
17-08-2023 13:00;31,97
17-08-2023 14:00;32,93
17-08-2023 15:00;32,64
17-08-2023 16:00;31,43
17-08-2023 17:00;26,72
17-08-2023 18:00;31,19
17-08-2023 19:00;36,19
17-08-2023 20:00;34,67
17-08-2023 21:00;33,35
17-08-2023 22:00;32,26
17-08-2023 23:00;30,64
18-08-2023 0:00;26,41
18-08-2023 1:00;24,08
18-08-2023 2:00;23,47
18-08-2023 3:00;23,04
18-08-2023 4:00;22,44
18-08-2023 5:00;22,52
18-08-2023 6:00;24,01
18-08-2023 7:00;0
18-08-2023 8:00;0
18-08-2023 9:00;0
18-08-2023 10:00;3,7
18-08-2023 11:00;37,62
18-08-2023 12:00;36,75
18-08-2023 13:00;36,62
18-08-2023 14:00;34,93
18-08-2023 15:00;31,53
18-08-2023 16:00;28,72
18-08-2023 17:00;27,18
18-08-2023 18:00;31,03
18-08-2023 19:00;35,15
18-08-2023 20:00;37,07
18-08-2023 21:00;35,59
18-08-2023 22:00;32,32
18-08-2023 23:00;31,31
19-08-2023 0:00;27,35
19-08-2023 1:00;24,7
19-08-2023 2:00;23,86
19-08-2023 3:00;24,42
19-08-2023 4:00;24,42
19-08-2023 5:00;23,16
19-08-2023 6:00;23,64
19-08-2023 7:00;26,65
19-08-2023 8:00;26,72
19-08-2023 9:00;28,27
19-08-2023 10:00;26,65
19-08-2023 11:00;27,9
19-08-2023 12:00;28,99
19-08-2023 13:00;30,13
19-08-2023 14:00;30,38
19-08-2023 15:00;28,85
19-08-2023 16:00;28,07
19-08-2023 17:00;29,12
19-08-2023 18:00;32,19
19-08-2023 19:00;37,14
19-08-2023 20:00;37,48
19-08-2023 21:00;35,91
19-08-2023 22:00;36,05
19-08-2023 23:00;34,25
20-08-2023 0:00;29,59
20-08-2023 1:00;28,49
20-08-2023 2:00;26,69
20-08-2023 3:00;25,68
20-08-2023 4:00;25,33
20-08-2023 5:00;24,08
20-08-2023 6:00;25,2
20-08-2023 7:00;24,63
20-08-2023 8:00;27,66
20-08-2023 9:00;27,56
20-08-2023 10:00;28,41
20-08-2023 11:00;27,46
20-08-2023 12:00;29,62
20-08-2023 13:00;28,73
20-08-2023 14:00;29
20-08-2023 15:00;29,24
20-08-2023 16:00;30,42
20-08-2023 17:00;30,97
20-08-2023 18:00;33,33
20-08-2023 19:00;34,18
20-08-2023 20:00;35,25
20-08-2023 21:00;35,34
20-08-2023 22:00;33,98
20-08-2023 23:00;34,65
21-08-2023 0:00;27,53
21-08-2023 1:00;24,63
21-08-2023 2:00;23,54
21-08-2023 3:00;22,46
21-08-2023 4:00;22,44
21-08-2023 5:00;24,27
21-08-2023 6:00;22,9
21-08-2023 7:00;25,14
21-08-2023 8:00;32,13
21-08-2023 9:00;31,11
21-08-2023 10:00;31
21-08-2023 11:00;30,84
21-08-2023 12:00;31,64
21-08-2023 13:00;34,07
